gene_symbol	entrez_human	entrez_rat	entrez_mouse	Unirprot_Human	Uniprot_Rat	Uniprot_mouse	gene_name	synonym	DbTF	pubmed_id	evidence.type	AnimalTFDB	Vaquerizas.et.al	ORFeome	Ravasi.et.al	TFCat	JASPAR	GOC	DBD	TcoF.DB	pubmed_id.1	taxon	pubmed_id.2	taxon.1	pubmed_id.3	taxon.2	pubmed_id.4	taxon.3	pubmed_id.5	taxon.4	pubmed_id.6	taxon.5
ZFP1	162239	498952	22640	Q6P2D0		P08042,Q3UI68	ZFP1 zinc finger protein	ZNF475	yes	20624068	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	20624068	10090	0	0	0	0	0	0	0	0	0	0
ZFP37	7539	115768	22696	Q9Y6Q3	F1LQU1	Q6P3Z4,Q8CCM5	ZFP37 zinc finger protein	ZNF906	yes	9585434	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	9585434	9606	0	0	0	0	0	0	0	0	0	0
ZFP42	132625	100361947	22702	Q96MM3		P22227,E9QK22	ZFP42 zinc finger protein	REX1|ZNF754	yes	9528758	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	9528758	0	0	0	0	0	0	0	0	0	0	0
ZFP54	0	308232	22712		B5DEZ5	E9PW05	zinc finger protein 51	2810034D10RIK|KRAB10|MGC91117|ZFP-54|ZFP76|MSZF83	yes	20624068	Author statement	AnimalTFDB	0	0	0	0	0	0	0	0	20624068	10090	0	0	0	0	0	0	0	0	0	0
ZNF642	339559	0	0	Q49AA0			ZFP69 zinc finger protein	RP11-656D10.2|ZFP69	yes	19578398	Author statement	AnimalTFDB	Vaquerizas et al	0	0	0	0	0	DBD	TcoF-DB	19578398	9606	0	0	0	0	0	0	0	0	0	0
ZKSCAN5	23660	304275	22757	Q9Y2L8,B3KNK8		Q69ZT2,Q6PAK4,Q9Z1D8	zinc finger with KRAB and SCAN domains 5	ZFP95|ZNF914	yes	14519192	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	14519192	9606;10090;10116	0	0	0	0	0	0	0	0	0	0
ZNF117	51351	0	0	Q03924			zinc finger protein 117	H-PLK|HPF9	yes	2023909	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	0	0	0	0	DBD	TcoF-DB	2023909	9606	0	0	0	0	0	0	0	0	0	0
ZNF124	7678	314586	0	J3KSE1,Q15973			zinc finger protein 124	HZF-16|HZF16|ZK7	yes	17431901	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	0	17431901	9606	0	0	0	0	0	0	0	0	0	0
ZNF132	7691	0	109948	B3KQ54,P52740			zinc finger protein 132	PHZ-12	yes	7557990	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	7557990	9606	0	0	0	0	0	0	0	0	0	0
ZNF134	7693	0	109947	P52741			zinc finger protein 134	PHZ-15	yes	7557990	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	7557990	9606	0	0	0	0	0	0	0	0	0	0
ZNF135	7694	0	0	B4DHH9,E9PEV2,Q8N1I7,Q8N9M3,I3L0B3,B4DLZ7,F5GYY9			zinc finger protein 135	ZNF61|ZNF78L1|PHZ-17|PT3	yes	7557990	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	0	7557990	9606	0	0	0	0	0	0	0	0	0	0
ZNF138	7697	0	0	A2RRP7,E9PHK7,C9JHF6,B4DFX2			zinc finger protein 138	PHZ-32	yes	7557990	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	0	7557990	9606	0	0	0	0	0	0	0	0	0	0
ZNF154	7710	0	0	Q13106			zinc finger protein 154	PHZ-92	yes	7557990	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	0	0	7557990	9606	0	0	0	0	0	0	0	0	0	0
