From	To
IPI00030834	A8K1R9
IPI00000837	A4D1D0
IPI00000837	Q14832
IPI00000837	A8K5U1
IPI00000837	B7Z2G5
IPI00000839	A8K0F9
IPI00000839	A8K0G9
IPI00000839	Q14833
IPI00000839	A1L4F9
IPI00220277	P41594
IPI00169239	Q8NHA9
IPI00745954	Q14831
IPI00332575	B2RE49
IPI00332575	Q7RTX1
IPI00152592	Q8TE23
IPI00169179	Q7RTX0
IPI00023121	Q9H342
IPI00376299	Q96R54
IPI00878836	P0C629
IPI00168980	Q8NGC8
IPI00169087	Q8NH06
IPI00878357	P0C623
IPI00022766	P0C646
IPI00022766	Q9H2C7
IPI00877793	P0C628
IPI00877959	P0C617
IPI00878479	P0C626
IPI00169006	Q8NGG1
IPI00428677	Q86SG9
IPI00428677	Q86UG8
IPI00428677	Q86SH1
IPI00428677	Q86UG9
IPI00428677	Q86UG7
IPI00428677	Q86SH3
IPI00386359	Q8NH07
IPI00377023	Q8NGU0
IPI00786842	P0C645
IPI00300587	Q9H208
IPI00478001	P58181
IPI00478001	Q8NG90
IPI00742745	Q6IFR1
IPI00742745	Q9H209
IPI00022326	Q6IFG6
IPI00169190	Q8NH74
IPI00168993	Q8NGE5
IPI00061858	Q8NGE0
IPI00303621	Q8NH19
IPI00064656	Q96KK4
IPI00168975	Q8NGC3
IPI00254160	Q8NGC4
IPI00151862	Q8NH81
IPI00386351	Q8NGN6
IPI00000636	Q9Y4A9
IPI00029535	O60403
IPI00029538	O60404
IPI00168963	Q8NGA5
IPI00377004	Q8NGA6
IPI00028118	P30954
IPI00464960	Q5JRS4
IPI00384214	Q86UG6
IPI00384214	Q86SE3
IPI00169192	Q8NGX5
IPI00456735	Q6IF99
IPI00303376	Q8NH36
IPI00303376	Q8NGE3
IPI00169085	B9EIL7
IPI00169085	Q8NGQ4
IPI00303717	Q8NGX6
IPI00169188	Q8NGX3
IPI00169029	Q8NGI7
IPI00169201	Q8NGY0
IPI00169202	Q8NGY1
IPI00026296	Q9GZK7
IPI00456726	Q8NGC1
IPI00255178	Q8NG94
IPI00465379	B2RN74
IPI00168981	Q8NGC9
IPI00168979	Q8NGC7
IPI00303705	Q6IF01
IPI00303705	Q8NGX0
IPI00303705	B9EIN8
IPI00011054	P58182
IPI00005290	Q9UGF7
IPI00005290	D2XT27
IPI00005288	Q9UGF6
IPI00465098	Q8NGR1
IPI00376778	Q8NGS9
IPI00169115	Q8NGS6
IPI00169113	Q8NGS5
IPI00062312	Q8NGS8
IPI00169117	Q8NGS7
IPI00169121	Q8NGV4
IPI00169121	Q8NGT0
IPI00374256	Q8NGV5
IPI00303630	B9EIM5
IPI00303630	Q8NGS4
IPI00386395	Q8NGZ3
IPI00303226	Q8NG92
IPI00169124	Q8NGT2
IPI00001631	Q9P1Q5
IPI00001143	Q9Y585
IPI00169100	Q8NGR6
IPI00419369	Q15619
IPI00003067	P34982
IPI00419401	A0AUK4
IPI00419401	Q6IFL7
IPI00419401	Q6IFM2
IPI00419401	P58170
IPI00028117	P30953
IPI00028117	Q9NZP3
IPI00026655	Q6IFM7
IPI00026655	P47887
IPI00026655	Q6IFB0
IPI00065371	Q8WZA6
IPI00013916	O43872
IPI00013916	O43874
IPI00013916	O43875
IPI00013916	O43873
IPI00013916	O43749
IPI00013916	O43871
IPI00303859	Q6IFI9
IPI00303859	Q8NHA8
IPI00303859	D2XT26
IPI00303859	D2XT28
IPI00465268	O43876
IPI00465268	P47890
IPI00029620	O60431
IPI00029620	B2RU23
IPI00303629	Q8NGS3
IPI00872325	Q86SF3
IPI00872325	Q86SG8
IPI00383941	Q8NGS1
IPI00383941	A3KME5
IPI00169096	Q8NGR3
IPI00376791	Q8NH94
IPI00185234	Q8NH93
IPI00303615	Q8NGR5
IPI00376792	Q8NGR2
IPI00169103	Q8NGR8
IPI00168959	Q8NGA1
IPI00303622	Q8NGR9
IPI00018693	Q15612
IPI00018693	B9EIK1
IPI00303764	Q8NH92
IPI00169084	Q8NGQ3
IPI00414176	Q8NGT9
IPI00303646	Q8NGT7
IPI00303646	A4D2G4
IPI00386374	Q6IF42
IPI00398221	A4D2G3
IPI00028233	O95047
IPI00382685	B9EGX1
IPI00382685	Q96R48
IPI00374072	Q96R45
IPI00375225	Q8NHA4
IPI00022324	Q9H205
IPI00232021	A6NM03
IPI00232021	B9EIM0
IPI00058265	Q8NGZ0
IPI00386284	Q8NG84
IPI00168991	Q8NGE2
IPI00465223	A6NND4
IPI00453466	Q5JQS5
IPI00304219	Q9GZK3
IPI00304219	Q6IFA1
IPI00011043	P58173
IPI00030064	O95371
IPI00022355	Q9H210
IPI00169016	Q8NGH3
IPI00299181	O43887
IPI00299181	Q13607
IPI00299181	O43886
IPI00028203	B2RNC7
IPI00028203	O95006
IPI00303770	Q8NGZ5
IPI00185235	Q8NGZ4
IPI00376314	Q5TZ20
IPI00026293	O43624
IPI00026293	O43625
IPI00026293	Q8IU63
IPI00026293	Q9GZK4
IPI00001356	O95918
IPI00304218	Q9GZK6
IPI00008678	O76002
IPI00297629	O76001
IPI00166488	Q8N349
IPI00386364	Q8NH16
IPI00397100	Q8NG85
IPI00386283	Q8NG80
IPI00386391	B9EIN6
IPI00386391	Q8NGY9
IPI00464969	Q96R28
IPI00251797	Q8NG83
IPI00168939	Q96R27
IPI00183993	A3KFT3
IPI00303203	Q8NG81
IPI00015852	Q9NQN1
IPI00419372	O43869
IPI00169230	Q8NGZ9
IPI00450806	B9EIN4
IPI00450806	Q8NH01
IPI00168934	Q8NG77
IPI00465262	Q6IF00
IPI00414402	Q8NH04
IPI00259413	Q8NH02
IPI00470602	Q8NH03
IPI00168933	Q8NG76
IPI00303587	Q8NH00
IPI00402264	B9EIN2
IPI00402264	Q6IEZ7
IPI00303891	Q8NHC8
IPI00457030	A6NH00
IPI00169241	Q8NHB1
IPI00382684	Q96R30
IPI00000124	Q9Y3N9
IPI00607597	Q7Z3T1
IPI00607597	B2RUT5
IPI00464971	A6NFC9
IPI00303670	Q8NGV0
IPI00168954	Q8NG97
IPI00026661	O43879
IPI00026661	P47893
IPI00220564	O43880
IPI00220564	O43878
IPI00220564	P47888
IPI00026652	P47883
IPI00303512	Q8NGL6
IPI00169181	B9EIN3
IPI00169181	Q8NH70
IPI00872614	B9EIM4
IPI00872614	Q6IF82
IPI00169205	Q8NH83
IPI00169205	B9EIN5
IPI00303394	Q8NGF8
IPI00419360	Q6IEV9
IPI00743405	Q8NH84
IPI00169059	Q8NGM1
IPI00303515	Q8NGL9
IPI00169131	Q8NH37
IPI00253464	A6NMZ5
IPI00050342	A6NHA9
IPI00303337	Q8NGB2
IPI00303707	Q8NH72
IPI00018699	Q15615
IPI00169028	Q8NGI6
IPI00169026	Q8NGI4
IPI00011052	P58180
IPI00169065	Q8NGN0
IPI00303463	Q8NGJ1
IPI00168995	Q8NGE8
IPI00168974	Q8NGC2
IPI00465263	Q6IEY1
IPI00303328	Q8NGA8
IPI00419364	O95013
IPI00382798	Q96R69
IPI00169105	Q8NH21
IPI00168972	Q8NGB9
IPI00168986	Q8NGD4
IPI00303654	Q8NH42
IPI00168987	Q8NGD5
IPI00051958	Q8NH41
IPI00303352	Q8NGC6
IPI00168984	Q8NGD2
IPI00646035	Q96R72
IPI00303364	B9EIS6
IPI00303364	Q8NGD3
IPI00169141	Q8NH43
IPI00168982	Q8NGD0
IPI00168969	Q8NGB6
IPI00168983	Q8NGD1
IPI00295696	Q8N0Y3
IPI00217508	Q8IXE1
IPI00169055	Q8NGL7
IPI00176445	Q8NH05
IPI00168967	Q8NGB4
IPI00169187	Q8NH73
IPI00303664	Q8NH49
IPI00303395	Q8NGF9
IPI00402206	Q8NGJ7
IPI00169038	B9EIP2
IPI00169038	Q8NGJ6
IPI00873063	Q8NH64
IPI00295119	Q17R53
IPI00295119	Q9Y5P1
IPI00001678	A4FU14
IPI00001678	Q9Y5P0
IPI00301096	Q05CQ2
IPI00301096	Q9H339
IPI00023118	Q9H340
IPI00375703	Q8NGF3
IPI00549411	Q8TCB6
IPI00160814	A6NGY5
IPI00303684	Q8NH61
IPI00303481	Q8NGK1
IPI00377012	Q8NGK0
IPI00023123	Q9H343
IPI00023125	B9EIL6
IPI00023125	Q9H344
IPI00169037	Q8NGJ5
IPI00399291	Q9H341
IPI00399291	B2RNI9
IPI00386384	Q8NH59
IPI00169040	Q8NGJ8
IPI00402207	Q8NGJ9
IPI00300877	Q9H2C8
IPI00007617	Q9UKL2
IPI00465221	B9EIN7
IPI00465221	A6NMU1
IPI00399290	Q9H2C5
IPI00185098	Q96RD2
IPI00303483	Q8NGK2
IPI00303483	B2RU22
IPI00303388	Q8NGF0
IPI00385892	Q9H346
IPI00303464	Q8NGJ3
IPI00303465	Q8NGJ4
IPI00169021	Q8NGH9
IPI00169021	B9EH08
IPI00169158	Q8NH55
IPI00141011	Q96RD3
IPI00419385	Q6IFG1
IPI00169034	Q8NGJ2
IPI00166004	Q8NGK6
IPI00456621	Q8NH67
IPI00303683	Q8NH60
IPI00169043	Q8NGK4
IPI00169020	Q8NGH7
IPI00303486	Q8NGK5
IPI00169156	Q8NH53
IPI00176467	Q8NGI0
IPI00176467	B9EIL8
IPI00375707	Q8NGI2
IPI00303677	Q8NH56
IPI00303389	Q8NGF1
IPI00303430	Q8NGH5
IPI00169157	Q8NH54
IPI00303432	Q6IFK7
IPI00303432	Q8NGH8
IPI00375706	Q8NGI3
IPI00169194	Q8NH76
IPI00169032	Q8NGJ0
IPI00303451	Q8NGI9
IPI00169217	Q8NH90
IPI00169030	Q8NGI8
IPI00169000	B9EH20
IPI00169081	Q8NGP9
IPI00169081	B9EIN0
IPI00295616	Q8N127
IPI00169253	Q8NHC5
IPI00168973	Q8NGC0
IPI00185232	Q8NGZ2
IPI00060337	Q96R08
IPI00140505	Q8NGF7
IPI00375736	Q96R09
IPI00140509	A6NL26
IPI00169148	Q8NH48
IPI00169254	Q8NHC7
IPI00470370	B2RNZ0
IPI00470370	A6ND48
IPI00185143	Q6IFM9
IPI00185143	Q8NGR4
IPI00169052	Q8NGL4
IPI00169051	Q8NGL3
IPI00386339	Q8NGK9
IPI00029411	A0AUJ7
IPI00029411	O95221
IPI00470569	A6NKK0
IPI00874207	A6NHG9
IPI00470611	A6NDH6
IPI00169163	Q8NGV7
IPI00250136	Q8NGV6
IPI00014282	Q13606
IPI00169102	Q8NH18
IPI00400819	Q8NHB7
IPI00169248	Q8NHB8
IPI00470612	A6NET4
IPI00470613	A6NMS3
IPI00169050	Q8NGL2
IPI00386344	Q8NGL0
IPI00303583	Q8NGP8
IPI00375733	Q6IEU7
IPI00332085	Q96RB7
IPI00303582	Q8NGP6
IPI00169077	Q8NGP3
IPI00103896	Q6IFE0
IPI00103896	Q8WZ92
IPI00103896	Q8WZ86
IPI00103899	Q8WZ94
IPI00169209	Q8NH85
IPI00168932	Q8NG75
IPI00169007	Q8NGG2
IPI00169008	Q8NGG3
IPI00244663	Q9UGF5
IPI00303696	Q8NH69
IPI00029412	O95222
IPI00375263	O95007
IPI00335346	Q6IFH4
IPI00303685	Q8NGW1
IPI00399337	Q96RD1
IPI00437595	Q9NZP2
IPI00437594	Q9NZP0
IPI00470601	A6NF89
IPI00470614	A6NJZ3
IPI00470605	A6NIJ9
IPI00470600	A6NCV1
IPI00470600	B9EIN9
IPI00470603	A6NL08
IPI00399342	A6NM76
IPI00303771	Q8NGZ6
IPI00168977	Q8NGC5
IPI00386388	Q8NGY2
IPI00871783	Q8NGY3
IPI00169175	Q8NGW6
IPI00398850	Q8NGM8
IPI00169208	Q6IFR3
IPI00169208	Q8NGY5
IPI00169208	B2RUT4
IPI00386390	Q8NGY6
IPI00303725	Q8NGX9
IPI00303589	Q8NGQ2
IPI00303589	B9EKW0
IPI00051746	Q8NH40
IPI00169066	Q8NGN1
IPI00166080	Q8N148
IPI00176452	Q8NH79
IPI00169197	Q8NGX8
IPI00009180	O76100
IPI00022490	Q9UEB1
IPI00022490	O14581
IPI00018735	Q15622
IPI00008839	O76099
IPI00008839	Q17RS1
IPI00419409	O60412
IPI00382701	Q96RA2
IPI00303230	A8CAI1
IPI00303230	Q8NG98
IPI00303230	A8CAH9
IPI00465269	O43789
IPI00465269	Q6IFN5
IPI00303323	Q8NGA0
IPI00168956	Q8NG99
IPI00176425	Q8NG95
IPI00303418	Q8NGG7
IPI00169011	Q8NGG6
IPI00719055	Q8NGG9
IPI00386331	Q8NGG8
IPI00050742	Q96RC9
IPI00018729	Q6IEW6
IPI00018729	Q15620
IPI00103887	Q8WZ84
IPI00026323	Q9GZM6
IPI00169064	Q8NGM9
IPI00099998	Q15617
IPI00375761	Q8NG87
IPI00375761	Q15614
IPI00387082	B2RND3
IPI00387082	B2RND4
IPI00387082	Q8NG78
IPI00169009	Q8NGG4
IPI00166095	Q8N162
IPI00872903	Q8N146
IPI00166113	Q8N0Y5
IPI00303579	Q8NGP2
IPI00169005	Q8NGG0
IPI00169010	Q8NGG5
IPI00169154	Q8NH51
IPI00303601	Q8NH09
IPI00303609	Q8NH10
IPI00554658	P0C7N1
IPI00554683	P0C7N5
IPI00168990	A4D2H9
IPI00168990	Q8NGT5
IPI00169139	Q8NGU2
IPI00169213	Q8NH87
IPI00169082	Q8NGQ1
IPI00554566	P0C7N8
IPI00169088	Q8NGQ6
IPI00168994	Q8NGE7
IPI00303594	Q8NGQ5
IPI00012749	Q9NQ40
IPI00413788	Q5VW38
IPI00218565	P51810
IPI00002171	B4E1F8
IPI00002171	Q9HAB3
IPI00328787	B3KVV2
IPI00328787	Q9NWF4
IPI00385826	Q9H2C6
IPI00303558	Q8NGN7
IPI00185222	Q8NGY7
IPI00879748	P0C604
IPI00402212	Q8NH63
IPI00169162	Q8NH57
IPI00399293	Q8NGI1
IPI00396983	Q8NGA2
IPI00644263	F6SK95
IPI00448364	Q6IEV0
IPI00303431	Q8NGH6
IPI00883889	Q6IFI8
IPI00456739	Q8NHA2
IPI00456739	Q6IF40
IPI00169137	Q8NGU1
IPI00402110	Q8NH68
IPI00169196	Q8NH77
IPI00401558	Q8N164
IPI00169250	Q8NHC0
IPI00303714	Q8WZ87
IPI00303714	Q8NH75
IPI00400913	Q8NHC1
IPI00169203	Q8NH82
IPI00169058	Q8NGM0
IPI00185084	Q8NGF2
IPI00169046	Q8NGK8
IPI00303691	Q8NH66
IPI00303624	Q8NH20
IPI00303624	Q8IXE7
IPI00168930	Q8NG73
IPI00176450	Q8NGW3
IPI00169252	Q8NHC2
IPI00169142	Q8NH44
IPI00169142	Q8NHD6
IPI00386411	Q8NHC3
IPI00303661	Q8NH47
IPI00334322	Q8NGP5
IPI00169075	Q8NGT3
IPI00169075	Q8NGP1
IPI00303658	Q8NH45
IPI00303658	Q8NH98
IPI00386345	Q8NGL5
IPI00169236	Q8NHA6
IPI00169053	Q8NH71
IPI00169119	Q8NH29
IPI00303679	Q8NH58
IPI00303676	Q8NHB3
IPI00169225	Q8NH95
IPI00303686	Q8NH62
IPI00303873	Q8NHB5
IPI00386394	Q8NH91
IPI00140489	Q8NGQ7
IPI00260941	Q8NH65
IPI00169200	Q8NH80
IPI00386375	Q8NH52
IPI00386375	Q8NH38
IPI00401675	Q8NH99
IPI00176447	Q8NH46
IPI00303378	Q8NGE6
IPI00783627	Q8NGP7
IPI00303870	Q8NHB0
IPI00260501	Q8NH88
IPI00169093	Q8NH11
IPI00410403	Q8NGY8
IPI00410403	Q6UXT6
IPI00399295	P0C7T3
IPI00174841	Q8N0X1
IPI00877834	Q8NGT4
IPI00168988	Q8NGD7
IPI00471973	Q8NGX7
IPI00873183	Q8IXE0
IPI00073066	Q96R84
IPI00008676	O76000
IPI00075660	Q8NGU4
IPI00030875	O95499
IPI00470710	Q8NH17
IPI00303559	Q8NGN8
IPI00884272	Q8NGI5
IPI00386352	Q8NGN9
IPI00784140	Q32VQ0
IPI00168931	Q6IEX5
IPI00058284	Q8NHC6
IPI00058284	Q6IEZ2
IPI00383628	Q6IFD1
IPI00383628	O95220
IPI00169060	Q8NGM3
IPI00169060	Q15616
IPI00169246	Q8NHB6
IPI00744660	Q8NGY4
IPI00736652	Q8NHA0
IPI00736652	Q8NHA1
IPI00099708	Q9UPJ0
IPI00099708	Q15613
IPI00001645	Q9P1R1
IPI00043433	Q7LFV1
IPI00169249	Q8NHB9
IPI00745493	Q6IF36
IPI00745493	Q8N0Y1
IPI00427774	Q711G2
IPI00026872	P30542
IPI00026872	B7Z379
IPI00020974	B4DW87
IPI00020974	B3KVQ4
IPI00020974	P29274
IPI00020974	A8K1F6
IPI00020976	P29275
IPI00020976	Q2L7J7
IPI00419658	P33765
IPI00218912	P35368
IPI00012725	B0ZBE0
IPI00012725	P25100
IPI00797870	P08913
IPI00297315	P18089
IPI00297315	A2RUS0
IPI00002437	P18825
IPI00002437	Q4W594
IPI00029278	P08588
IPI00465066	P07550
IPI00011286	B8X6N1
IPI00011286	A8KAG8
IPI00011286	B8X6N0
IPI00011286	P13945
IPI00797565	P30556
IPI00797565	Q8TBK4
IPI00797565	Q53YY0
IPI00797565	Q6NUP5
IPI00797565	Q13063
IPI00797565	D3DNG8
IPI00029486	P50052
IPI00029486	Q6UVH2
IPI00018672	B3KQN4
IPI00018672	P35414
IPI00018672	B2RDH3
IPI00020968	Q3S2J4
IPI00020968	P37288
IPI00026826	P47901
IPI00877977	C9JV81
IPI00296538	Q71U72
IPI00296538	P46663
IPI00026534	Q68DM8
IPI00026534	P30411
IPI00027686	Q9UQK4
IPI00027686	P32247
IPI00293530	Q53FA1
IPI00293530	Q16581
IPI00293530	A8K2H7
IPI00010308	P21730
IPI00012180	Q7Z7I1
IPI00012180	O00590
IPI00027666	P32238
IPI00027685	P32246
IPI00027685	Q5U003
IPI00004346	P46092
IPI00019957	Q8TDP6
IPI00019957	P51677
IPI00019958	P51679
IPI00019958	A0N0Q1
IPI00293730	A8KAF0
IPI00293730	Q53EZ5
IPI00293730	P51684
IPI00027687	A0N0Q0
IPI00027687	B2R6V6
IPI00027687	P32248
IPI00019985	P51685
IPI00009902	Q9UN87
IPI00009902	B2R734
IPI00009902	B2R8G9
IPI00009902	P51686
IPI00014785	Q4VBN4
IPI00014785	Q9NPB9
IPI00759535	B2R8C0
IPI00759535	O00421
IPI00298980	P11229
IPI00298980	Q53XZ3
IPI00027473	Q86SJ1
IPI00027473	Q6SL59
IPI00027473	P08172
IPI00027473	Q96RH0
IPI00027473	A4D1Q0
IPI00027473	Q6SL56
IPI00023456	P20309
IPI00023456	Q96RG9
IPI00027474	P08173
IPI00027474	Q96RG8
IPI00031710	Q6NUM3
IPI00031710	P08912
IPI00031710	Q8IVW0
IPI00017843	Q05KQ8
IPI00017843	Q99788
IPI00009396	Q506J9
IPI00009396	Q9BYY6
IPI00009396	P21554
IPI00003060	C6ES44
IPI00003060	P34972
IPI00409704	P49238
IPI00640020	P49682
IPI00216445	P61073
IPI00027955	Q2YD84
IPI00027955	A8K647
IPI00027955	P32302
IPI00027955	A0N0R2
IPI00012166	O00574
IPI00012166	A0N0N3
IPI00012733	P25106
IPI00009080	Q38Q88
IPI00009080	Q9Y271
IPI00009080	Q38Q91
IPI00006914	Q5KU17
IPI00006914	Q9NS75
IPI00006914	A4ZKH2
IPI00215964	Q5Y7A3
IPI00215964	Q5Y7A1
IPI00215964	Q5Y7A4
IPI00215964	Q16570
IPI00215964	Q4VBN9
IPI00215964	Q3LST0
IPI00215964	Q8IWP5
IPI00215964	Q7Z3T3
IPI00215964	Q3LSS9
IPI00010289	P21728
IPI00010289	Q6FH34
IPI00375079	Q59EH9
IPI00375079	P14416
IPI00018843	Q9BXX6
IPI00018843	A8K8E4
IPI00018843	P35462
IPI00018843	A1A4V4
IPI00018843	Q9NY31
IPI00018843	Q13167
IPI00011225	F6K0T8
IPI00011225	Q8WXP4
IPI00011225	Q8WXN3
IPI00011225	Q8WXN0
IPI00011225	Q8WXP7
IPI00011225	Q8WTT7
IPI00011225	Q8WXN1
IPI00011225	Q8WXM0
IPI00011225	Q8WXM7
IPI00011225	Q8IZB1
IPI00011225	Q8WTT6
IPI00011225	Q8WXN4
IPI00011225	Q8WXP0
IPI00011225	Q99586
IPI00011225	Q8WXP1
IPI00011225	Q8IZB6
IPI00011225	Q99587
IPI00011225	Q8WXM5
IPI00011225	Q8WXM9
IPI00011225	A4LB56
IPI00011225	Q8WXN8
IPI00011225	Q8WXM6
IPI00011225	Q8WXP6
IPI00011225	Q8WTQ5
IPI00011225	Q8WXL9
IPI00011225	Q8IZC0
IPI00011225	Q8IZB8
IPI00011225	P21917
IPI00011225	Q8WXP3
IPI00011225	Q8IZB2
IPI00011225	Q8WTQ0
IPI00011225	Q8WXM1
IPI00011225	Q0MTB8
IPI00011225	Q8WXN5
IPI00011225	Q76E76
IPI00011225	Q8WTT3
IPI00011225	F6K0T3
IPI00011225	Q8WXN9
IPI00011225	Q8IZB5
IPI00011225	Q8WTR9
IPI00011225	Q8WXM8
IPI00011225	F6K0U0
IPI00011225	A4LB49
IPI00011225	Q16303
IPI00011225	Q8WXM3
IPI00011225	Q8WTS5
IPI00011225	Q8IZB4
IPI00011225	Q8IZB7
IPI00011227	P21918
IPI00027688	P32249
IPI00015343	Q7L853
IPI00015343	P21453
IPI00022525	B4DK36
IPI00015983	Q99500
IPI00172675	B2RE65
IPI00172675	B3KVP9
IPI00172675	Q9HBW0
IPI00003501	O95136
IPI00021534	O95977
IPI00015940	Q9NRB8
IPI00015940	Q9UBY5
IPI00006152	Q9H228
IPI00434353	P25101
IPI00434353	B7Z9G6
IPI00434353	B4E2V6
IPI00412464	P24530
IPI00296869	P25116
IPI00296446	P55085
IPI00010870	Q4VBN6
IPI00010870	O00254
IPI00022557	Q96RI0
IPI00024206	Q0IJ71
IPI00024206	A5Z1T7
IPI00024206	O14842
IPI00007366	C6KYL4
IPI00007366	O15552
IPI00024208	A8K3U5
IPI00024208	O14843
IPI00024208	B0M0K0
IPI00328644	P21462
IPI00328644	B2RC44
IPI00012487	P25090
IPI00012478	P25089
IPI00012478	Q6L5J4
IPI00303575	B4DXB5
IPI00303575	P23945
IPI00306781	P47211
IPI00013353	O43603
IPI00031548	O60755
IPI00023793	Q92847
IPI00028132	P30968
IPI00044315	Q96P88
IPI00152620	Q8TDU6
IPI00470558	Q63ZY2
IPI00470558	Q7Z7A9
IPI00004345	P46091
IPI00046715	Q96P66
IPI00044280	Q96P65
IPI00044280	A1A4W1
IPI00025628	E9PI97
IPI00025628	P49019
IPI00152634	Q8TDV5
IPI00026228	Q6NWS8
IPI00026228	B4DG25
IPI00026228	Q6NWS6
IPI00026228	P47775
IPI00026228	A8K2F5
IPI00026228	Q6NWS7
IPI00376213	B4DWG6
IPI00376213	Q5NUL3
IPI00002514	A8K7X7
IPI00002514	Q9UNW8
IPI00478110	Q8IZ08
IPI00455139	Q9BYT4
IPI00455139	Q6DWJ6
IPI00060424	Q96CH1
IPI00060424	A4D2Q3
IPI00260367	Q8TDV2
IPI00027756	B2R8H6
IPI00027756	B6V9G9
IPI00027756	P49685
IPI00303663	Q05C22
IPI00303663	Q8NGU9
IPI00375312	Q8TDV0
IPI00152604	Q8TDT2
IPI00410442	Q6NV75
IPI00171156	B7Z5Z6
IPI00171156	F5GXD6
IPI00022919	Q16538
IPI00022919	Q96I00
IPI00012717	B3KX68
IPI00012717	Q13304
IPI00023057	O14626
IPI00016900	Q9NS66
IPI00000206	Q9BXC1
IPI00027003	Q14439
IPI00555618	Q14330
IPI00005660	Q6LAJ3
IPI00005660	O15218
IPI00019489	B9EK41
IPI00019489	Q15760
IPI00019489	Q6IBH2
IPI00017042	Q59GP3
IPI00017042	Q99678
IPI00017043	Q6NWM5
IPI00017043	Q99679
IPI00017060	B3KV13
IPI00017060	Q99680
IPI00017060	Q3KNS9
IPI00017060	Q59G39
IPI00017060	A4D0R8
IPI00017041	Q99677
IPI00010416	O00155
IPI00168597	Q8NDV2
IPI00016902	F1DAM3
IPI00016902	Q9NS67
IPI00004334	F1DAM5
IPI00004334	P46089
IPI00010881	O00270
IPI00025357	O75388
IPI00640769	D8VER1
IPI00640769	Q49SQ1
IPI00010051	B3KVJ9
IPI00010051	B3KQM5
IPI00010051	Q9UPC5
IPI00010051	Q5VT14
IPI00010051	B3KQB6
IPI00030217	Q6ZMP9
IPI00006166	O15354
IPI00006166	A4D0Y6
IPI00032405	B2R7M9
IPI00032405	O60883
IPI00032405	B4DIG3
IPI00011241	A4FVA5
IPI00011241	B3KV24
IPI00011241	Q53RU7
IPI00011241	B3KVZ1
IPI00011241	O43194
IPI00011241	A6QR72
IPI00004347	P46093
IPI00007314	O15529
IPI00001921	A8K5Q6
IPI00001921	Q9Y5Y4
IPI00419887	B5B0C1
IPI00419887	O43898
IPI00419887	Q9Y5Y3
IPI00299062	Q13585
IPI00032463	Q9Y2T5
IPI00032463	F2YGU0
IPI00328871	A8K858
IPI00328871	Q9Y2T6
IPI00004352	B4DHS9
IPI00140250	Q9BZJ8
IPI00289120	Q8TAM0
IPI00289120	Q9BZJ7
IPI00043553	Q9BZJ6
IPI00043553	A8K1C4
IPI00337428	B5B0C2
IPI00337428	Q8IYL9
IPI00337428	B2R9I6
IPI00019433	E9PNU7
IPI00019433	A1A5B2
IPI00019433	Q6NWR6
IPI00019433	Q6NWR5
IPI00009553	O95800
IPI00020543	Q6NWR0
IPI00020543	Q9P296
IPI00020543	Q6NWQ8
IPI00020543	Q6NWQ9
IPI00044283	B2R7M4
IPI00044283	Q96P69
IPI00000211	Q9BXC0
IPI00044281	Q96P67
IPI00021052	Q9H011
IPI00021052	Q6NWR3
IPI00021052	Q9NYM4
